Frequency_Hz,PSD
-9023437.5,2.188816496e-09
-9018554.688,1.470716137e-08
-9013671.875,2.631707017e-08
-9008789.062,5.163907939e-08
-9003906.25,3.759437521e-10
-8999023.438,3.01234782e-08
-8994140.625,2.091415819e-10
-8989257.812,1.926767492e-09
-8984375,1.429013366e-08
-8979492.188,7.107202717e-10
-8974609.375,9.202650072e-09
-8969726.562,7.639056309e-09
-8964843.75,6.02046712e-09
-8959960.938,3.948937833e-09
-8955078.125,1.185919535e-08
-8950195.312,1.443325768e-08
-8945312.5,1.633470035e-08
-8940429.688,9.116248103e-09
-8935546.875,2.12744803e-09
-8930664.062,8.511121445e-09
-8925781.25,4.990697935e-09
-8920898.438,1.668306047e-09
-8916015.625,1.688415182e-08
-8911132.812,1.545038673e-08
-8906250,5.616033679e-09
-8901367.188,1.931470342e-08
-8896484.375,1.01396476e-09
-8891601.562,2.337220725e-09
-8886718.75,1.211722373e-09
-8881835.938,3.264030947e-09
-8876953.125,3.637307889e-08
-8872070.312,8.116241094e-09
-8867187.5,2.516342914e-08
-8862304.688,8.965997214e-09
-8857421.875,1.388439998e-09
-8852539.062,9.097875996e-09
-8847656.25,4.698204076e-09
-8842773.438,1.134682101e-08
-8837890.625,9.092672713e-10
-8833007.812,1.280741691e-08
-8828125,1.375209396e-08
-8823242.188,2.573899876e-08
-8818359.375,3.838481435e-09
-8813476.562,2.033652433e-08
-8808593.75,3.103642076e-09
-8803710.938,3.544641537e-09
-8798828.125,7.938349795e-09
-8793945.312,3.748315937e-08
-8789062.5,1.254171452e-08
-8784179.688,3.247819368e-09
-8779296.875,5.308429474e-10
-8774414.062,6.43881086e-10
-8769531.25,6.920823532e-09
-8764648.438,4.476260123e-09
-8759765.625,9.64924586e-10
-8754882.812,2.658044569e-08
-8750000,1.044636929e-08
-8745117.188,3.524038197e-08
-8740234.375,1.666305025e-09
-8735351.562,2.647896086e-09
-8730468.75,1.25669574e-08
-8725585.938,3.28585384e-09
-8720703.125,2.62393672e-08
-8715820.312,9.771956699e-09
-8710937.5,4.781186387e-08
-8706054.688,2.117619577e-08
-8701171.875,2.325593665e-08
-8696289.062,1.648741674e-08
-8691406.25,9.040631549e-10
-8686523.438,5.334510702e-10
-8681640.625,1.118363869e-08
-8676757.812,1.512113396e-08
-8671875,5.122040829e-09
-8666992.188,1.61684831e-08
-8662109.375,8.856314805e-09
-8657226.562,2.161325443e-09
-8652343.75,5.060557559e-08
-8647460.938,1.830384344e-09
-8642578.125,5.160378434e-10
-8637695.312,1.671803178e-08
-8632812.5,1.177496584e-08
-8627929.688,5.700444925e-10
-8623046.875,1.595633728e-09
-8618164.062,1.419108183e-08
-8613281.25,5.239518653e-08
-8608398.438,1.62847257e-09
-8603515.625,3.922847474e-08
-8598632.812,3.530917549e-08
-8593750,9.554446119e-11
-8588867.188,3.503689742e-09
-8583984.375,4.236013127e-08
-8579101.562,3.145987956e-10
-8574218.75,5.137405574e-09
-8569335.938,6.032445653e-09
-8564453.125,2.364825827e-08
-8559570.312,6.651899937e-10
-8554687.5,1.062045448e-09
-8549804.688,4.988548649e-09
-8544921.875,6.787045374e-09
-8540039.062,9.071527491e-09
-8535156.25,1.533217829e-08
-8530273.438,1.594037391e-08
-8525390.625,1.423587383e-08
-8520507.812,8.135444705e-11
-8515625,7.601153433e-09
-8510742.188,5.256666923e-09
-8505859.375,1.22811279e-08
-8500976.562,5.200195318e-09
-8496093.75,9.940272573e-09
-8491210.938,3.860082125e-09
-8486328.125,1.53263564e-08
-8481445.312,2.942595271e-08
-8476562.5,4.535288036e-09
-8471679.688,1.604481896e-08
-8466796.875,6.6409825e-09
-8461914.062,2.297321545e-08
-8457031.25,5.253005743e-09
-8452148.438,1.358999539e-08
-8447265.625,3.782139552e-09
-8442382.812,9.745400433e-09
-8437500,1.487943679e-09
-8432617.188,9.806090665e-09
-8427734.375,2.254120433e-08
-8422851.562,4.338557721e-09
-8417968.75,3.493188219e-09
-8413085.938,2.494250277e-08
-8408203.125,1.744116031e-09
-8403320.312,1.210476609e-08
-8398437.5,7.150189601e-09
-8393554.688,7.557083551e-09
-8388671.875,5.466691333e-09
-8383789.062,1.257163103e-09
-8378906.25,2.879338047e-09
-8374023.438,4.180633499e-09
-8369140.625,1.299252996e-08
-8364257.812,2.6993619e-08
-8359375,1.385633804e-08
-8354492.188,3.103531025e-08
-8349609.375,6.775761564e-09
-8344726.562,6.44060774e-10
-8339843.75,6.189364262e-10
-8334960.938,3.296425754e-10
-8330078.125,1.860453082e-08
-8325195.312,1.694703565e-08
-8320312.5,1.264127038e-08
-8315429.688,3.668166448e-09
-8310546.875,1.277767025e-08
-8305664.062,2.318483584e-09
-8300781.25,2.238550679e-09
-8295898.438,3.84814648e-09
-8291015.625,1.862678586e-08
-8286132.812,8.18717599e-09
-8281250,4.501882211e-09
-8276367.188,5.555367761e-09
-8271484.375,1.072736379e-08
-8266601.562,8.314129084e-09
-8261718.75,1.061201237e-09
-8256835.938,2.958975461e-09
-8251953.125,2.371725912e-08
-8247070.312,1.241732005e-09
-8242187.5,1.394568324e-08
-8237304.688,4.330460202e-08
-8232421.875,1.508213775e-08
-8227539.062,2.557028453e-09
-8222656.25,1.597422757e-08
-8217773.438,7.540369062e-09
-8212890.625,4.782130803e-09
-8208007.812,4.280085704e-08
-8203125,1.05214901e-09
-8198242.188,3.064681506e-09
-8193359.375,6.334710053e-10
-8188476.562,1.63279301e-08
-8183593.75,3.983986126e-09
-8178710.938,1.886474956e-08
-8173828.125,2.130217237e-09
-8168945.312,1.241038929e-08
-8164062.5,1.183665358e-08
-8159179.688,7.101316502e-09
-8154296.875,2.045386223e-08
-8149414.062,1.288797623e-08
-8144531.25,1.178899642e-08
-8139648.438,8.006131438e-09
-8134765.625,2.346581747e-08
-8129882.812,6.205942544e-09
-8125000,1.972365603e-09
-8120117.188,5.159219726e-09
-8115234.375,1.036841369e-08
-8110351.562,3.810747892e-09
-8105468.75,1.309221726e-10
-8100585.938,1.218541256e-08
-8095703.125,3.032180521e-09
