Frequency_Hz,PSD
-9023437.5,1.34614074e-08
-9018554.688,1.352268863e-08
-9013671.875,1.335648502e-08
-9008789.062,1.334307161e-08
-9003906.25,1.332669409e-08
-8999023.438,1.344467763e-08
-8994140.625,1.339321223e-08
-8989257.812,1.33652445e-08
-8984375,1.34322246e-08
-8979492.188,1.341405686e-08
-8974609.375,1.348250562e-08
-8969726.562,1.362103826e-08
-8964843.75,1.357936272e-08
-8959960.938,1.336777145e-08
-8955078.125,1.334816128e-08
-8950195.312,1.362486071e-08
-8945312.5,1.340698926e-08
-8940429.688,1.357377575e-08
-8935546.875,1.374690788e-08
-8930664.062,1.356561739e-08
-8925781.25,1.3229273e-08
-8920898.438,1.314806967e-08
-8916015.625,1.330868398e-08
-8911132.812,1.354987264e-08
-8906250,1.377908966e-08
-8901367.188,1.394798724e-08
-8896484.375,1.378590879e-08
-8891601.562,1.378313592e-08
-8886718.75,1.363728391e-08
-8881835.938,1.379324634e-08
-8876953.125,1.361848458e-08
-8872070.312,1.351369861e-08
-8867187.5,1.364342878e-08
-8862304.688,1.376481452e-08
-8857421.875,1.362811627e-08
-8852539.062,1.334830504e-08
-8847656.25,1.332647629e-08
-8842773.438,1.358522936e-08
-8837890.625,1.350929765e-08
-8833007.812,1.381279853e-08
-8828125,1.344529009e-08
-8823242.188,1.34517212e-08
-8818359.375,1.345356855e-08
-8813476.562,1.356393418e-08
-8808593.75,1.369883284e-08
-8803710.938,1.362795704e-08
-8798828.125,1.38704334e-08
-8793945.312,1.376316946e-08
-8789062.5,1.372066545e-08
-8784179.688,1.367531139e-08
-8779296.875,1.353969991e-08
-8774414.062,1.374420562e-08
-8769531.25,1.377106253e-08
-8764648.438,1.361075975e-08
-8759765.625,1.367010865e-08
-8754882.812,1.352905205e-08
-8750000,1.359009266e-08
-8745117.188,1.387427911e-08
-8740234.375,1.388933306e-08
-8735351.562,1.439537833e-08
-8730468.75,1.458894055e-08
-8725585.938,1.478125376e-08
-8720703.125,1.586412044e-08
-8715820.312,1.756055152e-08
-8710937.5,1.962696499e-08
-8706054.688,2.000986575e-08
-8701171.875,1.779503429e-08
-8696289.062,1.500231928e-08
-8691406.25,1.403303397e-08
-8686523.438,1.378956557e-08
-8681640.625,1.39402082e-08
-8676757.812,1.364114005e-08
-8671875,1.372013912e-08
-8666992.188,1.380226502e-08
-8662109.375,1.354419907e-08
-8657226.562,1.340930367e-08
-8652343.75,1.345901086e-08
-8647460.938,1.349195215e-08
-8642578.125,1.36558816e-08
-8637695.312,1.363791002e-08
-8632812.5,1.331872777e-08
-8627929.688,1.36058907e-08
-8623046.875,1.389739406e-08
-8618164.062,1.40822639e-08
-8613281.25,1.408520508e-08
-8608398.438,1.360876926e-08
-8603515.625,1.34561544e-08
-8598632.812,1.374436579e-08
-8593750,1.364534873e-08
-8588867.188,1.352386244e-08
-8583984.375,1.31390051e-08
-8579101.562,1.342652194e-08
-8574218.75,1.336242148e-08
-8569335.938,1.33372617e-08
-8564453.125,1.332346218e-08
-8559570.312,1.339513069e-08
-8554687.5,1.345950098e-08
-8549804.688,1.358258779e-08
-8544921.875,1.357176014e-08
-8540039.062,1.34286237e-08
-8535156.25,1.349908241e-08
-8530273.438,1.365259276e-08
-8525390.625,1.375357365e-08
-8520507.812,1.332050855e-08
-8515625,1.323061451e-08
-8510742.188,1.34829614e-08
-8505859.375,1.335510169e-08
-8500976.562,1.319603716e-08
-8496093.75,1.321645601e-08
-8491210.938,1.330462031e-08
-8486328.125,1.34391752e-08
-8481445.312,1.340856849e-08
-8476562.5,1.349034251e-08
-8471679.688,1.324481811e-08
-8466796.875,1.327085629e-08
-8461914.062,1.336283792e-08
-8457031.25,1.334998082e-08
-8452148.438,1.341675884e-08
-8447265.625,1.340182802e-08
-8442382.812,1.355904847e-08
-8437500,1.365323587e-08
-8432617.188,1.34606927e-08
-8427734.375,1.351219707e-08
-8422851.562,1.333489782e-08
-8417968.75,1.339994483e-08
-8413085.938,1.340082646e-08
-8408203.125,1.332477904e-08
-8403320.312,1.342244251e-08
-8398437.5,1.360685444e-08
-8393554.688,1.352373872e-08
-8388671.875,1.334088483e-08
-8383789.062,1.328876093e-08
-8378906.25,1.312327949e-08
-8374023.438,1.329222765e-08
-8369140.625,1.310739194e-08
-8364257.812,1.314879877e-08
-8359375,1.381905731e-08
-8354492.188,1.389624851e-08
-8349609.375,1.371165446e-08
-8344726.562,1.354223382e-08
-8339843.75,1.392418903e-08
-8334960.938,1.47517307e-08
-8330078.125,1.56846369e-08
-8325195.312,1.717280164e-08
-8320312.5,1.924561158e-08
-8315429.688,2.160898977e-08
-8310546.875,2.378515893e-08
-8305664.062,2.683801774e-08
-8300781.25,2.735084114e-08
-8295898.438,2.599418555e-08
-8291015.625,2.319466078e-08
-8286132.812,1.954644539e-08
-8281250,1.633779725e-08
-8276367.188,1.510498987e-08
-8271484.375,1.480793765e-08
-8266601.562,1.514027542e-08
-8261718.75,1.511911031e-08
-8256835.938,1.463878823e-08
-8251953.125,1.461090907e-08
-8247070.312,1.437851909e-08
-8242187.5,1.405386041e-08
-8237304.688,1.417073588e-08
-8232421.875,1.418882706e-08
-8227539.062,1.405121919e-08
-8222656.25,1.365648456e-08
-8217773.438,1.346612689e-08
-8212890.625,1.351504676e-08
-8208007.812,1.344393167e-08
-8203125,1.3331319e-08
-8198242.188,1.333742252e-08
-8193359.375,1.366506855e-08
-8188476.562,1.389696314e-08
-8183593.75,1.395372492e-08
-8178710.938,1.433293251e-08
-8173828.125,1.442139948e-08
-8168945.312,1.362888787e-08
-8164062.5,1.355996212e-08
-8159179.688,1.356758908e-08
-8154296.875,1.344175151e-08
-8149414.062,1.332364587e-08
-8144531.25,1.327089245e-08
-8139648.438,1.317942014e-08
-8134765.625,1.318478038e-08
-8129882.812,1.350450753e-08
-8125000,1.34583918e-08
-8120117.188,1.333809351e-08
-8115234.375,1.34201975e-08
-8110351.562,1.31633502e-08
-8105468.75,1.33537343e-08
-8100585.938,1.351810783e-08
-8095703.125,1.387873474e-08
-8090820.312,1.394853291e-08
-8085937.5,1.388246794e-08
-8081054.688,1.389495422e-08
-8076171.875,1.360239377e-08
-8071289.062,1.350572031e-08
-8066406.25,1.367937237e-08
-8061523.438,1.344087109e-08
-8056640.625,1.341000307e-08
-8051757.812,1.333438136e-08
-8046875,1.338194733e-08
-8041992.188,1.35506515e-08
-8037109.375,1.344394684e-08
-8032226.562,1.349774278e-08
-8027343.75,1.326122924e-08
-8022460.938,1.334504271e-08
-8017578.125,1.343109592e-08
-8012695.312,1.348208037e-08
-8007812.5,1.336232755e-08
-8002929.688,1.397281633e-08
-7998046.875,1.479853207e-08
-7993164.062,1.375211709e-08
-7988281.25,1.330905932e-08
-7983398.438,1.354303732e-08
-7978515.625,1.359031268e-08
-7973632.812,1.368167686e-08
-7968750,1.356372258e-08
-7963867.188,1.364691932e-08
-7958984.375,1.368933651e-08
-7954101.562,1.331368151e-08
-7949218.75,1.356062467e-08
-7944335.938,1.349658704e-08
-7939453.125,1.335077704e-08
-7934570.312,1.341206979e-08
-7929687.5,1.336484286e-08
-7924804.688,1.332840407e-08
-7919921.875,1.34533213e-08
-7915039.062,1.357623268e-08
-7910156.25,1.373403601e-08
-7905273.438,1.362500713e-08
-7900390.625,1.339255253e-08
-7895507.812,1.333090225e-08
-7890625,1.337428865e-08
-7885742.188,1.324024251e-08
-7880859.375,1.30791627e-08
-7875976.562,1.317848777e-08
-7871093.75,1.320425668e-08
-7866210.938,1.310069124e-08
-7861328.125,1.346556142e-08
-7856445.312,1.356626703e-08
-7851562.5,1.337069052e-08
-7846679.688,1.346076686e-08
-7841796.875,1.326897989e-08
-7836914.062,1.333569012e-08
-7832031.25,1.358454883e-08
-7827148.438,1.408085618e-08
-7822265.625,1.422901405e-08
-7817382.812,1.333730917e-08
-7812500,1.338319036e-08
-7807617.188,1.31786129e-08
-7802734.375,1.321697683e-08
-7797851.562,1.353392143e-08
-7792968.75,1.334181435e-08
-7788085.938,1.316540807e-08
-7783203.125,1.337581158e-08
-7778320.312,1.306379383e-08
-7773437.5,1.333695301e-08
-7768554.688,1.338383178e-08
-7763671.875,1.358539386e-08
-7758789.062,1.342135893e-08
-7753906.25,1.33457375e-08
-7749023.438,1.36670697e-08
-7744140.625,1.400897361e-08
-7739257.812,1.410010601e-08
-7734375,1.478504379e-08
-7729492.188,1.395041863e-08
-7724609.375,1.354564356e-08
-7719726.562,1.373144937e-08
-7714843.75,1.378739472e-08
-7709960.938,1.365376476e-08
-7705078.125,1.370079149e-08
-7700195.312,1.371638083e-08
-7695312.5,1.342886604e-08
-7690429.688,1.336844611e-08
-7685546.875,1.352057217e-08
-7680664.062,1.333271696e-08
-7675781.25,1.323772223e-08
-7670898.438,1.356953353e-08
-7666015.625,1.352448802e-08
-7661132.812,1.32849734e-08
-7656250,1.361940924e-08
-7651367.188,1.405034934e-08
-7646484.375,1.40118834e-08
-7641601.562,1.386380108e-08
-7636718.75,1.389265237e-08
-7631835.938,1.344344492e-08
-7626953.125,1.3544656e-08
-7622070.312,1.366007217e-08
-7617187.5,1.337690764e-08
-7612304.688,1.332766272e-08
-7607421.875,1.3506022e-08
-7602539.062,1.332637116e-08
-7597656.25,1.334689766e-08
-7592773.438,1.326974461e-08
-7587890.625,1.333862442e-08
-7583007.812,1.339103953e-08
-7578125,1.350045445e-08
-7573242.188,1.34810389e-08
-7568359.375,1.371362895e-08
-7563476.562,1.426203615e-08
-7558593.75,1.386582619e-08
-7553710.938,1.330486053e-08
-7548828.125,1.348408727e-08
-7543945.312,1.346837057e-08
-7539062.5,1.332396232e-08
-7534179.688,1.353239025e-08
-7529296.875,1.367463723e-08
-7524414.062,1.360596458e-08
-7519531.25,1.355542166e-08
-7514648.438,1.322528849e-08
-7509765.625,1.337313138e-08
-7504882.812,1.355538285e-08
-7500000,1.34657266e-08
-7495117.188,1.389240604e-08
-7490234.375,1.388350215e-08
-7485351.562,1.368284843e-08
-7480468.75,1.369500158e-08
-7475585.938,1.406888988e-08
-7470703.125,1.383847976e-08
-7465820.312,1.34565854e-08
-7460937.5,1.339767083e-08
-7456054.688,1.334577394e-08
-7451171.875,1.324352486e-08
-7446289.062,1.349580003e-08
-7441406.25,1.349362998e-08
-7436523.438,1.331230385e-08
-7431640.625,1.321925846e-08
-7426757.812,1.34224774e-08
-7421875,1.326994397e-08
-7416992.188,1.341862746e-08
-7412109.375,1.367595164e-08
-7407226.562,1.353297695e-08
-7402343.75,1.3550548e-08
-7397460.938,1.376861951e-08
-7392578.125,1.373746854e-08
-7387695.312,1.412769331e-08
-7382812.5,1.423318929e-08
-7377929.688,1.362961983e-08
-7373046.875,1.355461302e-08
-7368164.062,1.358006376e-08
-7363281.25,1.31781802e-08
-7358398.438,1.329523374e-08
-7353515.625,1.368365789e-08
-7348632.812,1.382899082e-08
-7343750,1.400716773e-08
-7338867.188,1.474291422e-08
-7333984.375,1.637690555e-08
-7329101.562,1.937136952e-08
-7324218.75,2.287754527e-08
-7319335.938,2.269248596e-08
-7314453.125,1.884231062e-08
-7309570.312,1.583611328e-08
-7304687.5,1.439401619e-08
-7299804.688,1.416202486e-08
-7294921.875,1.45525949e-08
-7290039.062,1.359055576e-08
-7285156.25,1.355252368e-08
-7280273.438,1.348210592e-08
-7275390.625,1.352390051e-08
-7270507.812,1.378408746e-08
-7265625,1.370761232e-08
-7260742.188,1.402660123e-08
-7255859.375,1.362666875e-08
-7250976.562,1.345520411e-08
-7246093.75,1.37623842e-08
-7241210.938,1.378714427e-08
-7236328.125,1.42258754e-08
-7231445.312,1.399626326e-08
-7226562.5,1.388283061e-08
-7221679.688,1.382652074e-08
-7216796.875,1.339106223e-08
-7211914.062,1.397326615e-08
-7207031.25,1.45313717e-08
-7202148.438,1.397142557e-08
-7197265.625,1.363297035e-08
-7192382.812,1.355097393e-08
-7187500,1.33892232e-08
-7182617.188,1.341125092e-08
-7177734.375,1.3353974e-08
-7172851.562,1.349061044e-08
-7167968.75,1.360528782e-08
-7163085.938,1.354472035e-08
-7158203.125,1.332887875e-08
-7153320.312,1.330287537e-08
-7148437.5,1.319670746e-08
-7143554.688,1.334605859e-08
-7138671.875,1.341609739e-08
-7133789.062,1.347282694e-08
-7128906.25,1.362644498e-08
-7124023.438,1.408738129e-08
-7119140.625,1.394419373e-08
-7114257.812,1.343711219e-08
-7109375,1.340345986e-08
-7104492.188,1.348672574e-08
-7099609.375,1.331614246e-08
-7094726.562,1.348926265e-08
-7089843.75,1.343518683e-08
-7084960.938,1.323796046e-08
-7080078.125,1.30132232e-08
-7075195.312,1.311928029e-08
-7070312.5,1.327844112e-08
-7065429.688,1.321626087e-08
-7060546.875,1.344067414e-08
-7055664.062,1.344024612e-08
-7050781.25,1.338441004e-08
-7045898.438,1.332214403e-08
-7041015.625,1.372493333e-08
-7036132.812,1.411534449e-08
-7031250,1.369507218e-08
-7026367.188,1.329234658e-08
-7021484.375,1.32582484e-08
-7016601.562,1.319463835e-08
-7011718.75,1.351495866e-08
-7006835.938,1.36565816e-08
-7001953.125,1.345810508e-08
-6997070.312,1.36399634e-08
-6992187.5,1.353856741e-08
-6987304.688,1.365937436e-08
-6982421.875,1.398946394e-08
-6977539.062,1.362951994e-08
-6972656.25,1.340811527e-08
-6967773.438,1.365786888e-08
-6962890.625,1.380091378e-08
-6958007.812,1.365931539e-08
-6953125,1.402451845e-08
-6948242.188,1.482125959e-08
-6943359.375,1.443088777e-08
-6938476.562,1.374509771e-08
-6933593.75,1.377871057e-08
-6928710.938,1.344892703e-08
-6923828.125,1.331956452e-08
-6918945.312,1.331234347e-08
-6914062.5,1.339585545e-08
-6909179.688,1.368811311e-08
-6904296.875,1.336534525e-08
-6899414.062,1.328002895e-08
-6894531.25,1.329852669e-08
-6889648.438,1.316255114e-08
-6884765.625,1.330632406e-08
-6879882.812,1.345756964e-08
-6875000,1.345012989e-08
-6870117.188,1.33640593e-08
-6865234.375,1.353446115e-08
-6860351.562,1.514012227e-08
-6855468.75,1.532189615e-08
-6850585.938,1.425355779e-08
-6845703.125,1.363445756e-08
-6840820.312,1.370960794e-08
-6835937.5,1.355481518e-08
-6831054.688,1.326031483e-08
-6826171.875,1.350863759e-08
-6821289.062,1.328391664e-08
-6816406.25,1.349035204e-08
-6811523.438,1.326616386e-08
-6806640.625,1.323679858e-08
-6801757.812,1.355138628e-08
-6796875,1.321777338e-08
-6791992.188,1.315059692e-08
-6787109.375,1.320613989e-08
-6782226.562,1.365807574e-08
-6777343.75,1.384343219e-08
-6772460.938,1.445366518e-08
-6767578.125,1.479400424e-08
-6762695.312,1.409917825e-08
-6757812.5,1.363192645e-08
-6752929.688,1.334847698e-08
-6748046.875,1.391931959e-08
-6743164.062,1.371198889e-08
-6738281.25,1.384883976e-08
-6733398.438,1.363323736e-08
-6728515.625,1.347514188e-08
-6723632.812,1.350639937e-08
-6718750,1.350465962e-08
-6713867.188,1.350342894e-08
-6708984.375,1.339481734e-08
-6704101.562,1.348276686e-08
-6699218.75,1.355602856e-08
-6694335.938,1.364744699e-08
-6689453.125,1.340956021e-08
-6684570.312,1.361551041e-08
-6679687.5,1.407981043e-08
-6674804.688,1.382145782e-08
-6669921.875,1.36157806e-08
-6665039.062,1.346187663e-08
-6660156.25,1.367580432e-08
-6655273.438,1.359912438e-08
-6650390.625,1.341050573e-08
-6645507.812,1.335315385e-08
-6640625,1.350803757e-08
-6635742.188,1.364466831e-08
-6630859.375,1.365992733e-08
-6625976.562,1.363121235e-08
-6621093.75,1.348431054e-08
-6616210.938,1.345651614e-08
-6611328.125,1.368928644e-08
-6606445.312,1.381779406e-08
-6601562.5,1.354239624e-08
-6596679.688,1.334204048e-08
-6591796.875,1.338344815e-08
-6586914.062,1.367778938e-08
-6582031.25,1.375694052e-08
-6577148.438,1.366673301e-08
-6572265.625,1.347515072e-08
-6567382.812,1.309136342e-08
-6562500,1.350865498e-08
-6557617.188,1.371945709e-08
-6552734.375,1.368478123e-08
-6547851.562,1.369333622e-08
-6542968.75,1.340594528e-08
-6538085.938,1.354768018e-08
-6533203.125,1.36552826e-08
-6528320.312,1.356697277e-08
-6523437.5,1.343978791e-08
-6518554.688,1.349570785e-08
-6513671.875,1.393093314e-08
-6508789.062,1.399431875e-08
-6503906.25,1.3914971e-08
-6499023.438,1.432919346e-08
-6494140.625,1.442755905e-08
-6489257.812,1.385015996e-08
-6484375,1.355885417e-08
-6479492.188,1.341729265e-08
-6474609.375,1.32725513e-08
-6469726.562,1.334702393e-08
-6464843.75,1.342923415e-08
-6459960.938,1.358235988e-08
-6455078.125,1.348536114e-08
-6450195.312,1.358119826e-08
-6445312.5,1.359228746e-08
-6440429.688,1.35096324e-08
-6435546.875,1.38186267e-08
-6430664.062,1.385223412e-08
-6425781.25,1.41062169e-08
-6420898.438,1.518066002e-08
-6416015.625,1.541720253e-08
-6411132.812,1.41190622e-08
-6406250,1.39789695e-08
