Frequency_Hz,PSD
-10000000,1.041259766e-08
-9995117.188,4.580933755e-09
-9990234.375,5.644395019e-09
-9985351.562,9.601822863e-09
-9980468.75,7.601174943e-09
-9975585.938,1.422377381e-09
-9970703.125,2.115604106e-08
-9965820.312,1.145759654e-08
-9960937.5,2.037629945e-08
-9956054.688,5.897160326e-08
-9951171.875,5.704165096e-10
-9946289.062,1.15714618e-08
-9941406.25,6.220509828e-08
-9936523.438,1.024760686e-08
-9931640.625,2.235809973e-09
-9926757.812,1.962964222e-08
-9921875,7.703979344e-09
-9916992.188,9.072272728e-09
-9912109.375,4.29489846e-09
-9907226.562,2.874828632e-08
-9902343.75,9.503642185e-09
-9897460.938,4.519522457e-09
-9892578.125,1.903223908e-08
-9887695.312,1.180720827e-08
-9882812.5,2.536324704e-09
-9877929.688,1.112321083e-09
-9873046.875,1.50089864e-08
-9868164.062,9.423675234e-09
-9863281.25,2.18310408e-09
-9858398.438,6.559392997e-10
-9853515.625,1.874189176e-10
-9848632.812,2.532036909e-08
-9843750,1.770242793e-08
-9838867.188,1.207612155e-08
-9833984.375,1.173450883e-08
-9829101.562,2.303238689e-09
-9824218.75,1.41883724e-08
-9819335.938,8.647623877e-08
-9814453.125,9.36708129e-09
-9809570.312,4.057606018e-09
-9804687.5,8.032430422e-10
-9799804.688,2.342920229e-08
-9794921.875,2.471046899e-08
-9790039.062,3.467809011e-08
-9785156.25,2.180821354e-08
-9780273.438,9.532493133e-09
-9775390.625,2.473496494e-08
-9770507.812,1.665354069e-08
-9765625,1.148186876e-09
-9760742.188,6.789192915e-09
-9755859.375,7.062209931e-10
-9750976.562,5.977755176e-10
-9746093.75,1.38722037e-09
-9741210.938,1.179772208e-08
-9736328.125,7.480186879e-10
-9731445.312,2.926785344e-08
-9726562.5,2.249435345e-08
-9721679.688,8.902659715e-09
-9716796.875,3.918661835e-08
-9711914.062,3.526711542e-09
-9707031.25,1.611179623e-08
-9702148.438,5.762497643e-09
-9697265.625,2.015183416e-09
-9692382.812,2.81918072e-08
-9687500,4.285283521e-09
-9682617.188,1.096612497e-09
-9677734.375,1.244552652e-08
-9672851.562,8.068045528e-09
-9667968.75,2.835193523e-08
-9663085.938,4.124378852e-09
-9658203.125,6.202838338e-09
-9653320.312,1.22119973e-08
-9648437.5,1.401140275e-08
-9643554.688,1.574504259e-08
-9638671.875,2.542581599e-08
-9633789.062,7.980302002e-09
-9628906.25,4.266972117e-09
-9624023.438,2.143199279e-08
-9619140.625,1.162675205e-08
-9614257.812,2.825719451e-08
-9609375,1.533381945e-08
-9604492.188,1.227134052e-08
-9599609.375,1.349760937e-09
-9594726.562,2.019630126e-08
-9589843.75,9.531046878e-10
-9584960.938,9.591729218e-09
-9580078.125,4.403356647e-10
-9575195.312,6.800347913e-09
-9570312.5,6.202882262e-09
