Canal,Frecuencia Central (MHz),Riohacha,Valledupar,Santa Marta,Baranquilla,Cartagena,Sincelejo,Monteria,Medellín,Pereira,Manizales,Armenia,Bogotá,Cúcuta,Bucaramanga,Arauca,Yopal,Tunja,Villavicencio,Ibagué,Neiva,Florencia,Mocoa,San José del Guaviare,Pto. Carreño,Pto. Inírida,Mitú,Leticia,Quibdó,Cali,Popayán,Pasto,San Andrés Islas
Canal 28,557,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 29,563,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 30,569,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 31,575,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 32,581,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 33,587,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 34,593,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 35,599,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 36,605,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 37,611,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 38,617,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 39,623,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 40,629,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 41,635,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 42,641,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 43,647,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 44,653,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 45,659,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 46,665,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 47,671,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 48,677,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 49,683,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 50,689,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 51,695,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
