Trace
Swept SA
A.34.06,N9000B
640890000,-81.2522048950195
643880000,-66.1116027832031
646870000,-86.6830368041992
649860000,-69.6698150634766
652850000,-97.3671875
655840000,-65.0503845214844
658830000,-83.2795791625977
661820000,-66.6936187744141
664810000,-80.4390869140625
667800000,-66.0680923461914
670790000,-83.4764862060547
673780000,-65.6667175292969
676770000,-82.3835296630859
679760000,-65.3050308227539
682750000,-75.9336318969727
685740000,-64.9506912231445
688730000,-86.2417526245117
691720000,-67.2164001464844
694710000,-79.4030685424805
697700000,-66.0168838500977
700690000,-84.4946060180664
703680000,-68.0893020629883
706670000,-80.8146743774414
709660000,-68.0700912475586
712650000,-85.2072906494141
715640000,-64.6033020019531
718630000,-92.4639587402344
721620000,-72.045166015625
724610000,-80.5211410522461
727600000,-64.5626754760742
730590000,-89.4056854248047
733580000,-67.9947280883789
736570000,-86.5239028930664
739560000,-66.4652252197266
742550000,-76.4919204711914
745540000,-67.5381393432617
748530000,-77.3531646728516
751520000,-70.0044860839844
754510000,-85.8239440917969
757500000,-68.3302001953125
760490000,-79.5430755615234
763480000,-70.4040908813477
766470000,-86.3484878540039
769460000,-67.6707611083984
772450000,-84.1568069458008
775440000,-69.6160354614258
778430000,-85.3943405151367
781420000,-65.4738311767578
784410000,-80.5818710327148
787400000,-68.0658569335938
790390000,-95.6487121582031
793380000,-65.5243453979492
796370000,-89.0143356323242
799360000,-67.1281356811523
802350000,-82.3413848876953
805340000,-67.3737258911133
808330000,-88.9603424072266
811320000,-69.0693511962891
814310000,-94.8046798706055
817300000,-69.561882019043
820290000,-80.6984329223633
823280000,-69.3782653808594
826270000,-86.4634017944336
829260000,-68.9139099121094
832250000,-80.4436569213867
835240000,-70.1861953735352
838230000,-79.9559631347656
841220000,-69.3378601074219
844210000,-87.4778213500977
847200000,-70.2732162475586
850190000,-87.3592758178711
853180000,-68.4525604248047
856170000,-85.6694412231445
859160000,-68.9601821899414
862150000,-83.6775436401367
865140000,-67.6569213867188
868130000,-84.976692199707
871120000,-66.2147521972656
874110000,-84.3723526000977
877100000,-66.3541717529297
880090000,-84.9057006835938
883080000,-68.3676834106445
886070000,-84.312385559082
889060000,-70.1930465698242
892050000,-82.949592590332
895040000,-71.0166854858398
898030000,-90.5199584960938
901020000,-67.5240478515625
904010000,-79.4207229614258
907000000,-67.9082717895508
909990000,-91.0166397094727
912980000,-68.2465972900391
915970000,-83.1222152709961
918960000,-69.7226104736328
921950000,-82.1427993774414
924940000,-66.9029235839844
927930000,-87.4257888793945
930920000,-68.1768264770508
933910000,-81.5597839355469
936900000,-65.7863388061523
939890000,-83.8361434936523
942880000,-70.041145324707
945870000,-82.8523254394531
948860000,-69.4879989624023
951850000,-81.1982421875
954840000,-68.0077743530273
957830000,-79.3022689819336
960820000,-67.5667953491211
963810000,-88.7256088256836
966800000,-69.5400772094727
969790000,-87.2829055786133
972780000,-67.8886566162109
975770000,-86.1554946899414
978760000,-66.7869720458984
981750000,-78.9354629516602
984740000,-69.1255187988281
987730000,-82.4477081298828
990720000,-67.3344573974609
993710000,-83.8381881713867
996700000,-71.8102035522461
999690000,-78.7597579956055
1002680000,-65.884391784668
1005670000,-84.8288421630859
1008660000,-67.4975662231445
1011650000,-76.5703506469727
1014640000,-66.9066696166992
1017630000,-83.1980056762695
1020620000,-65.1215057373047
1023610000,-85.0000686645508
1026600000,-67.6577682495117
1029590000,-80.3758392333984
1032580000,-69.2452239990234
1035570000,-86.2928161621094
1038560000,-68.111213684082
1041550000,-81.7303237915039
1044540000,-68.78662109375
1047530000,-82.9650115966797
1050520000,-67.1947402954102
1053510000,-80.5257568359375
1056500000,-65.6638641357422
1059490000,-89.1935958862305
1062480000,-65.688850402832
1065470000,-75.9404754638672
1068460000,-69.894889831543
1071450000,-77.9490585327148
1074440000,-66.9654312133789
1077430000,-81.6296157836914
1080420000,-68.6917877197266
1083410000,-85.9929580688477
1086400000,-69.5308074951172
1089390000,-80.1349029541016
1092380000,-69.9432373046875
1095370000,-89.9133605957031
1098360000,-67.7554550170898
1101350000,-92.8069381713867
1104340000,-69.867790222168
1107330000,-95.3528823852539
1110320000,-65.4156723022461
1113310000,-89.9402008056641
1116300000,-72.6924057006836
1119290000,-85.9922485351563
1122280000,-67.3811492919922
1125270000,-79.7049942016602
1128260000,-69.4302825927734
1131250000,-85.1443939208984
1134240000,-67.86279296875
1137230000,-92.0977554321289
1140220000,-66.5121002197266
1143210000,-83.8330001831055
1146200000,-66.3721542358398
1149190000,-79.9594345092773
1152180000,-69.3254165649414
1155170000,-85.6033020019531
1158160000,-68.2894439697266
1161150000,-84.5989303588867
1164140000,-69.5339736938477
1167130000,-81.9916610717773
1170120000,-68.5560607910156
1173110000,-75.1827621459961
1176100000,-65.8819122314453
1179090000,-82.5059509277344
1182080000,-68.9637908935547
1185070000,-85.6943969726563
1188060000,-68.1629943847656
1191050000,-91.2904891967773
1194040000,-67.7958145141602
1197030000,-77.8408203125
1200020000,-68.7347030639648
1203010000,-80.7991638183594
1206000000,-67.1775970458984
1208990000,-78.064697265625
1211980000,-68.5925750732422
1214970000,-74.2976379394531
1217960000,-64.7292404174805
1220950000,-82.4887313842773
1223940000,-67.3708343505859
1226930000,-78.116081237793
1229920000,-67.2850723266602
1232910000,-94.3988265991211
1235900000,-69.6106338500977
1238890000,-85.9832916259766
1241880000,-66.4396057128906
1244870000,-90.2123489379883
1247860000,-66.8080368041992
1250850000,-98.0433197021484
1253840000,-67.4138488769531
1256830000,-88.5033340454102
1259820000,-66.4152984619141
1262810000,-74.9770584106445
1265800000,-68.5982894897461
1268790000,-79.6095886230469
1271780000,-66.0034561157227
1274770000,-81.1407775878906
1277760000,-67.0118942260742
1280750000,-83.1065444946289
1283740000,-67.3034744262695
1286730000,-81.13671875
1289720000,-67.2702102661133
1292710000,-92.4126586914063
1295700000,-66.0735397338867
1298690000,-82.5606384277344
1301680000,-65.5566864013672
1304670000,-96.4860229492188
1307660000,-66.0224380493164
1310650000,-87.5673751831055
1313640000,-65.1638412475586
1316630000,-77.313346862793
1319620000,-63.7702102661133
1322610000,-82.8889999389648
1325600000,-65.5679550170898
1328590000,-80.4510879516602
1331580000,-63.3857955932617
1334570000,-80.7294998168945
1337560000,-65.9300231933594
1340550000,-86.5721206665039
1343540000,-63.8500213623047
1346530000,-81.4862289428711
1349520000,-65.8937530517578
1352510000,-80.4792404174805
1355500000,-66.2339019775391
1358490000,-79.0033569335938
1361480000,-68.9618606567383
1364470000,-81.9540023803711
1367460000,-66.9876937866211
1370450000,-85.8446273803711
1373440000,-69.0240707397461
1376430000,-80.1516799926758
1379420000,-68.4404067993164
1382410000,-90.0085220336914
1385400000,-66.5485534667969
1388390000,-82.7097396850586
1391380000,-64.8426361083984
1394370000,-86.3881454467773
1397360000,-67.8304748535156
1400350000,-96.0640029907227
1403340000,-68.6400604248047
1406330000,-79.7870483398438
1409320000,-67.4638442993164
1412310000,-84.1566696166992
1415300000,-65.2425537109375
1418290000,-84.6355285644531
1421280000,-63.1292915344238
1424270000,-80.6489181518555
1427260000,-66.3509368896484
1430250000,-78.0505981445313
1433240000,-64.5610504150391
1436230000,-89.2345504760742
1439220000,-66.7221832275391
1442210000,-77.3091506958008
1445200000,-66.0435180664063
1448190000,-88.2724227905273
1451180000,-64.4555816650391
1454170000,-82.0237426757813
1457160000,-64.6846313476563
1460150000,-76.8796768188477
1463140000,-63.3842849731445
1466130000,-84.4933776855469
1469120000,-67.7157592773438
1472110000,-84.036003112793
1475100000,-66.0729293823242
1478090000,-79.4254989624023
1481080000,-65.6368637084961
1484070000,-79.4450988769531
1487060000,-67.3843002319336
1490050000,-80.6156005859375
1493040000,-67.6669998168945
1496030000,-76.4659042358398
1499020000,-65.4075622558594
1502010000,-80.0278549194336
1505000000,-66.1434707641602
1507990000,-76.108512878418
1510980000,-65.8142929077148
1513970000,-74.8327331542969
1516960000,-66.2207794189453
1519950000,-78.4119415283203
1522940000,-64.0300064086914
1525930000,-80.3007965087891
1528920000,-63.0129241943359
1531910000,-89.6470565795898
1534900000,-65.4228515625
1537890000,-74.3824996948242
1540880000,-63.4937133789063
1543870000,-87.760612487793
1546860000,-68.0055541992188
1549850000,-81.4225921630859
1552840000,-65.2238922119141
1555830000,-80.5855712890625
1558820000,-64.736701965332
1561810000,-80.8115997314453
1564800000,-63.8131828308105
1567790000,-76.726676940918
1570780000,-64.9595336914063
1573770000,-81.5109710693359
1576760000,-66.4601287841797
1579750000,-80.4040069580078
1582740000,-66.0300445556641
1585730000,-75.0270614624023
1588720000,-63.8375816345215
1591710000,-74.9475402832031
1594700000,-64.0439529418945
1597690000,-81.4920043945313
1600680000,-64.2841262817383
1603670000,-85.1613922119141
1606660000,-64.484619140625
1609650000,-78.2788619995117
1612640000,-64.1385803222656
1615630000,-78.0780181884766
1618620000,-62.1812438964844
1621610000,-78.5555267333984
1624600000,-68.2435302734375
1627590000,-87.6979370117188
1630580000,-65.0331268310547
1633570000,-78.9946136474609
1636560000,-62.5495719909668
1639550000,-83.4870758056641
1642540000,-66.2843170166016
1645530000,-78.2754440307617
1648520000,-61.7510261535645
1651510000,-77.4748916625977
1654500000,-62.5210380554199
1657490000,-75.3735046386719
1660480000,-63.0551338195801
1663470000,-80.1599426269531
1666460000,-64.6512145996094
1669450000,-74.5999526977539
1672440000,-63.8910865783691
1675430000,-84.7033309936523
1678420000,-61.9680862426758
1681410000,-81.527702331543
1684400000,-61.5624389648438
1687390000,-79.0759887695313
1690380000,-62.410587310791
1693370000,-82.1311569213867
1696360000,-62.3775520324707
1699350000,-74.1571273803711
1702340000,-64.6463317871094
1705330000,-71.6473541259766
1708320000,-63.4160842895508
1711310000,-88.2459335327148
1714300000,-65.0866317749023
1717290000,-81.5999374389648
1720280000,-62.7892532348633
1723270000,-84.1052093505859
1726260000,-64.5900573730469
1729250000,-76.4610977172852
1732240000,-63.6265144348145
1735230000,-75.9150009155273
1738220000,-63.7425956726074
1741210000,-78.5497131347656
1744200000,-59.8892860412598
1747190000,-75.2676391601563
1750180000,-61.6074409484863
1753170000,-80.9297256469727
1756160000,-64.4517822265625
1759150000,-80.5374069213867
1762140000,-61.4085464477539
1765130000,-86.086311340332
1768120000,-62.7396545410156
1771110000,-83.7993316650391
1774100000,-63.813533782959
1777090000,-84.3190689086914
1780080000,-63.1742744445801
1783070000,-84.3008270263672
1786060000,-63.9968070983887
1789050000,-77.2970199584961
1792040000,-65.5483932495117
1795030000,-84.3253555297852
1798020000,-61.3388175964355
1801010000,-81.5654907226563
1804000000,-63.3139190673828
1806990000,-82.2949752807617
1809980000,-62.9549674987793
1812970000,-89.2280578613281
1815960000,-65.2314910888672
1818950000,-79.2598114013672
1821940000,-64.9688186645508
1824930000,-79.8386306762695
1827920000,-67.0843887329102
1830910000,-83.1176147460938
1833900000,-63.7812805175781
1836890000,-80.2054901123047
1839880000,-64.4336013793945
1842870000,-76.4595794677734
1845860000,-64.3249206542969
1848850000,-83.813102722168
1851840000,-67.1122817993164
1854830000,-79.6325378417969
1857820000,-62.7590026855469
1860810000,-77.8699111938477
1863800000,-64.9789962768555
1866790000,-89.7410888671875
1869780000,-63.91162109375
1872770000,-84.3611068725586
1875760000,-64.4787445068359
1878750000,-79.8211517333984
1881740000,-62.9167518615723
1884730000,-83.7608947753906
1887720000,-64.8515930175781
1890710000,-83.4512405395508
1893700000,-63.7548141479492
1896690000,-78.0183410644531
1899680000,-62.7094879150391
1902670000,-78.2150497436523
1905660000,-61.9992904663086
1908650000,-70.5303039550781
1911640000,-64.5486602783203
1914630000,-73.9357986450195
1917620000,-61.5114936828613
1920610000,-88.071159362793
1923600000,-65.1240386962891
1926590000,-76.6072158813477
1929580000,-62.1758003234863
1932570000,-82.0960540771484
1935560000,-62.6876449584961
1938550000,-94.81298828125
1941540000,-61.939811706543
1944530000,-77.3137435913086
1947520000,-62.8161849975586
1950510000,-72.4407119750977
1953500000,-62.3557090759277
1956490000,-82.9748840332031
1959480000,-68.0598831176758
1962470000,-84.0055923461914
1965460000,-64.8198699951172
1968450000,-78.9385375976563
1971440000,-65.1090316772461
1974430000,-77.8438110351563
1977420000,-66.0662460327148
1980410000,-72.3747406005859
1983400000,-61.3159484863281
1986390000,-72.4140243530273
1989380000,-64.032600402832
1992370000,-78.8465194702148
1995360000,-64.858268737793
1998350000,-80.3909683227539
2001340000,-61.7611503601074
2004330000,-71.7012405395508
2007320000,-64.5371551513672
2010310000,-73.5923767089844
2013300000,-62.0855522155762
2016290000,-83.472282409668
2019280000,-61.7424812316895
2022270000,-75.1131591796875
2025260000,-64.8747406005859
2028250000,-79.6770782470703
2031240000,-60.7965354919434
2034230000,-83.2164840698242
2037220000,-62.5243301391602
2040210000,-78.5620956420898
2043200000,-62.3662757873535
2046190000,-72.6951065063477
2049180000,-63.6397247314453
2052170000,-73.4372634887695
2055160000,-61.688663482666
2058150000,-81.0411071777344
2061140000,-63.523998260498
2064130000,-79.5133743286133
2067120000,-62.9244842529297
2070110000,-77.6453628540039
2073100000,-60.5552444458008
2076090000,-83.5963363647461
2079080000,-62.7110061645508
2082070000,-71.9373626708984
2085060000,-63.9901275634766
2088050000,-83.0885543823242
2091040000,-64.2282485961914
2094030000,-79.0148010253906
2097020000,-62.4474945068359
2100010000,-79.4285659790039
2103000000,-61.3193664550781
2105990000,-77.2864761352539
2108980000,-62.9045944213867
2111970000,-80.4571685791016
2114960000,-63.5221214294434
2117950000,-78.969108581543
2120940000,-64.1447906494141
2123930000,-74.3134613037109
2126920000,-63.7385520935059
2129910000,-73.228385925293
2132900000,-62.4431762695313
2135890000,-86.8050079345703
2138880000,-63.937614440918
2141870000,-74.339241027832
2144860000,-62.4994888305664
2147850000,-75.5572738647461
2150840000,-62.7955780029297
2153830000,-75.4274063110352
2156820000,-61.8787651062012
2159810000,-87.9302139282227
2162800000,-65.0319442749023
2165790000,-75.8150863647461
2168780000,-64.0768280029297
2171770000,-83.209587097168
2174760000,-63.6037902832031
2177750000,-82.4232864379883
2180740000,-62.143424987793
2183730000,-77.7262573242188
2186720000,-60.8131408691406
2189710000,-76.9104309082031
2192700000,-64.8795013427734
2195690000,-77.1595306396484
2198680000,-61.6810073852539
2201670000,-76.9234161376953
2204660000,-62.6559219360352
2207650000,-85.2050704956055
2210640000,-61.8052597045898
2213630000,-78.5021133422852
2216620000,-63.7245712280273
2219610000,-74.7557983398438
2222600000,-61.4569511413574
2225590000,-80.0903625488281
2228580000,-62.4818496704102
2231570000,-83.2282028198242
2234560000,-63.1569137573242
2237550000,-86.5027389526367
2240540000,-63.0373306274414
2243530000,-76.7016983032227
2246520000,-64.1347122192383
2249510000,-77.8909454345703
2252500000,-63.3065567016602
2255490000,-79.1073837280273
2258480000,-62.0396423339844
2261470000,-76.7704467773438
2264460000,-62.6063537597656
2267450000,-78.9487457275391
2270440000,-62.363037109375
2273430000,-84.0910415649414
2276420000,-64.1363830566406
2279410000,-78.2923355102539
2282400000,-62.4694976806641
2285390000,-75.8096694946289
2288380000,-61.3538093566895
2291370000,-79.1616592407227
2294360000,-62.375316619873
2297350000,-76.1280822753906
2300340000,-62.2692985534668
2303330000,-76.740119934082
2306320000,-63.8514518737793
2309310000,-80.1427001953125
2312300000,-65.1043472290039
2315290000,-78.9563446044922
2318280000,-63.8812446594238
2321270000,-75.885124206543
2324260000,-62.4745483398438
2327250000,-79.0332107543945
2330240000,-61.2108116149902
2333230000,-76.325325012207
2336220000,-62.8941650390625
2339210000,-81.0865936279297
2342200000,-63.377368927002
2345190000,-89.3902587890625
2348180000,-66.3115921020508
2351170000,-81.6987609863281
2354160000,-61.7252006530762
2357150000,-76.7280044555664
2360140000,-65.6897964477539
2363130000,-76.2771072387695
2366120000,-64.0159683227539
2369110000,-70.2245178222656
2372100000,-61.9460029602051
2375090000,-79.7658157348633
2378080000,-62.9407234191895
2381070000,-76.8198089599609
2384060000,-63.9582252502441
2387050000,-81.5707855224609
2390040000,-62.2571983337402
2393030000,-81.0125885009766
2396020000,-61.3293266296387
2399010000,-78.3487930297852
2402000000,-61.7390365600586
2404990000,-95.218879699707
2407980000,-58.9029846191406
2410970000,-84.6542282104492
2413960000,-63.4106903076172
2416950000,-81.0136871337891
2419940000,-59.3703460693359
2422930000,-77.4400329589844
2425920000,-59.111988067627
2428910000,-78.4090194702148
2431900000,-63.0001373291016
2434890000,-75.9620132446289
2437880000,-65.1266479492188
2440870000,-85.3033981323242
2443860000,-63.1772003173828
2446850000,-74.8103103637695
2449840000,-61.216739654541
2452830000,-71.4750671386719
2455820000,-63.649543762207
2458810000,-73.614631652832
2461800000,-60.9422035217285
2464790000,-71.6422271728516
2467780000,-62.1991119384766
2470770000,-79.2239990234375
2473760000,-61.4217147827148
2476750000,-72.5825424194336
2479740000,-62.20458984375
2482730000,-78.2038803100586
2485720000,-63.5480728149414
2488710000,-82.5810241699219
2491700000,-59.7924118041992
2494690000,-74.7023696899414
2497680000,-61.1438255310059
2500670000,-77.1304626464844
2503660000,-61.516300201416
2506650000,-77.5734939575195
2509640000,-62.14306640625
2512630000,-80.3286361694336
2515620000,-64.8122177124023
2518610000,-74.2895278930664
2521600000,-64.6305541992188
2524590000,-75.5233459472656
2527580000,-62.0974426269531
2530570000,-85.0319976806641
2533560000,-60.7424736022949
2536550000,-78.0055236816406
2539540000,-61.7172546386719
2542530000,-79.8144607543945
2545520000,-63.2954177856445
2548510000,-82.1150665283203
2551500000,-63.9221076965332
2554490000,-82.6452331542969
2557480000,-62.7739067077637
2560470000,-73.905143737793
2563460000,-62.9904823303223
2566450000,-72.1248931884766
2569440000,-59.7131729125977
2572430000,-74.2488250732422
2575420000,-63.5680084228516
2578410000,-78.7819442749023
2581400000,-63.5856742858887
2584390000,-73.9115447998047
2587380000,-60.5900993347168
2590370000,-76.7631301879883
2593360000,-60.5791053771973
2596350000,-73.6558456420898
2599340000,-63.7702255249023
2602330000,-76.1906661987305
2605320000,-61.5213470458984
2608310000,-85.3259582519531
2611300000,-63.2756690979004
2614290000,-82.7617874145508
2617280000,-60.6623916625977
2620270000,-74.7437286376953
2623260000,-59.0586624145508
2626250000,-77.7406997680664
2629240000,-61.8145751953125
2632230000,-78.2859191894531
2635220000,-61.3507270812988
2638210000,-86.6030960083008
2641200000,-63.5730895996094
2644190000,-85.915283203125
2647180000,-63.1617698669434
2650170000,-75.7057876586914
2653160000,-58.3496475219727
2656150000,-73.8106307983398
2659140000,-60.4069786071777
2662130000,-77.7685012817383
2665120000,-60.6791458129883
2668110000,-74.1682891845703
2671100000,-63.7117347717285
2674090000,-83.3905181884766
2677080000,-61.8129043579102
2680070000,-81.1175994873047
2683060000,-61.5315208435059
2686050000,-78.5875930786133
2689040000,-62.3400115966797
2692030000,-84.0974731445313
2695020000,-60.0896987915039
2698010000,-73.3542327880859
2701000000,-61.8653678894043
2703990000,-75.0769882202148
2706980000,-58.9227447509766
2709970000,-75.9001770019531
2712960000,-60.7381019592285
2715950000,-70.3602905273438
2718940000,-61.1754493713379
2721930000,-71.2752990722656
2724920000,-59.0754547119141
2727910000,-84.762321472168
2730900000,-60.7535133361816
2733890000,-77.2860107421875
2736880000,-61.7488136291504
2739870000,-83.8374328613281
2742860000,-59.0936889648438
2745850000,-77.8390808105469
2748840000,-58.9368553161621
2751830000,-84.7167358398438
2754820000,-59.9050521850586
2757810000,-71.841667175293
2760800000,-58.568489074707
2763790000,-73.9769439697266
2766780000,-57.8014984130859
2769770000,-73.0534133911133
2772760000,-59.6001739501953
2775750000,-75.8457183837891
2778740000,-61.0784149169922
2781730000,-69.3829727172852
2784720000,-58.9370956420898
2787710000,-72.4861602783203
2790700000,-59.8589897155762
2793690000,-77.5773468017578
2796680000,-57.8530426025391
2799670000,-77.0812301635742
2802660000,-58.4366722106934
2805650000,-79.1413497924805
2808640000,-57.561450958252
2811630000,-80.0380630493164
2814620000,-56.4576683044434
2817610000,-66.2316284179688
2820600000,-57.244068145752
2823590000,-81.8748474121094
2826580000,-58.4260864257813
2829570000,-75.6354827880859
2832560000,-56.361156463623
2835550000,-70.8527526855469
2838540000,-60.5233421325684
2841530000,-72.1361541748047
2844520000,-56.0325050354004
2847510000,-75.8606338500977
2850500000,-55.7317428588867
2853490000,-81.0197143554688
2856480000,-60.6321258544922
2859470000,-73.6069717407227
2862460000,-57.2034721374512
2865450000,-77.108772277832
2868440000,-59.0421104431152
2871430000,-78.1331024169922
2874420000,-57.6734809875488
2877410000,-73.3661270141602
2880400000,-57.5292625427246
2883390000,-80.615364074707
2886380000,-57.596996307373
2889370000,-91.8412017822266
2892360000,-59.6633224487305
2895350000,-76.0199127197266
2898340000,-59.5395355224609
2901330000,-74.6283569335938
2904320000,-58.5646934509277
2907310000,-77.4967880249023
2910300000,-59.7012405395508
2913290000,-76.4381561279297
2916280000,-61.6102828979492
2919270000,-76.5304336547852
2922260000,-60.9984893798828
2925250000,-75.9296646118164
2928240000,-62.1527519226074
2931230000,-84.0114364624023
2934220000,-55.9804611206055
2937210000,-73.9695587158203
2940200000,-59.1474189758301
2943190000,-72.4204330444336
2946180000,-57.3388595581055
2949170000,-76.4553527832031
2952160000,-58.6630249023438
2955150000,-76.9228057861328
2958140000,-60.5950126647949
2961130000,-78.014030456543
2964120000,-60.1722640991211
2967110000,-71.5229110717773
2970100000,-58.9278564453125
2973090000,-75.7368774414063
2976080000,-58.5073127746582
