Frequency_Hz,Power_dBm
-10000000.00,-70.4464
-9995117.19,-70.4464
-9990234.38,-70.4875
-9985351.56,-70.5171
-9980468.75,-70.5234
-9975585.94,-70.5097
-9970703.12,-70.4871
-9965820.31,-70.4716
-9960937.50,-70.4824
-9956054.69,-70.5078
-9951171.88,-70.5402
-9946289.06,-70.5596
-9941406.25,-70.5328
-9936523.44,-70.4899
-9931640.62,-70.5035
-9926757.81,-70.5648
-9921875.00,-70.4465
-9916992.19,-70.4697
-9912109.38,-70.5418
-9907226.56,-70.4765
-9902343.75,-70.4653
-9897460.94,-70.5046
-9892578.12,-70.5189
-9887695.31,-70.5206
-9882812.50,-70.5702
-9877929.69,-70.4464
-9873046.88,-70.4608
-9868164.06,-70.5789
-9863281.25,-70.5484
-9858398.44,-70.4093
-9853515.62,-70.4593
-9848632.81,-70.5492
-9843750.00,-70.5485
-9838867.19,-70.5737
-9833984.38,-70.4956
-9829101.56,-70.4093
-9824218.75,-70.4550
-9819335.94,-70.4672
-9814453.12,-70.4378
-9809570.31,-70.4903
-9804687.50,-70.4947
-9799804.69,-70.5382
-9794921.88,-70.5520
-9790039.06,-70.5145
-9785156.25,-70.4909
-9780273.44,-70.5454
-9775390.62,-70.6175
-9770507.81,-70.6117
-9765625.00,-70.5638
-9760742.19,-70.5551
-9755859.38,-70.5926
-9750976.56,-70.5618
-9746093.75,-70.5287
-9741210.94,-70.5476
-9736328.12,-70.5604
-9731445.31,-70.5074
-9726562.50,-70.4608
-9721679.69,-70.4994
-9716796.88,-70.4577
-9711914.06,-70.4732
-9707031.25,-70.5383
-9702148.44,-70.5077
-9697265.62,-70.4933
-9692382.81,-70.5824
-9687500.00,-70.4950
-9682617.19,-70.5049
-9677734.38,-70.5238
-9672851.56,-70.6130
-9667968.75,-70.5191
-9663085.94,-70.6219
-9658203.12,-70.6175
-9653320.31,-70.6224
-9648437.50,-70.5607
-9643554.69,-70.4893
-9638671.88,-70.5911
-9633789.06,-70.6107
-9628906.25,-70.5525
-9624023.44,-70.5056
-9619140.62,-70.4997
-9614257.81,-70.4491
-9609375.00,-70.5101
-9604492.19,-70.5181
-9599609.38,-70.4453
-9594726.56,-70.5170
-9589843.75,-70.5798
-9584960.94,-70.5330
-9580078.12,-70.5130
-9575195.31,-70.5396
-9570312.50,-70.5519
-9565429.69,-70.5506
-9560546.88,-70.5104
-9555664.06,-70.5655
-9550781.25,-70.5647
-9545898.44,-70.5394
-9541015.62,-70.5310
-9536132.81,-70.5665
-9531250.00,-70.5616
-9526367.19,-70.5619
-9521484.38,-70.5660
-9516601.56,-70.5225
-9511718.75,-70.4768
-9506835.94,-70.5348
-9501953.12,-70.5992
-9497070.31,-70.5326
-9492187.50,-70.5498
-9487304.69,-70.6159
-9482421.88,-70.5669
-9477539.06,-70.5947
-9472656.25,-70.5620
-9467773.44,-70.5413
-9462890.62,-70.5691
-9458007.81,-70.5738
-9453125.00,-70.5716
-9448242.19,-70.5476
-9443359.38,-70.5339
-9438476.56,-70.5250
-9433593.75,-70.5125
-9428710.94,-70.5815
-9423828.12,-70.5995
-9418945.31,-70.5845
-9414062.50,-70.5430
-9409179.69,-70.5231
-9404296.88,-70.5224
-9399414.06,-70.5546
-9394531.25,-70.6274
-9389648.44,-70.6292
-9384765.62,-70.5772
-9379882.81,-70.5361
-9375000.00,-70.5324
-9370117.19,-70.5711
-9365234.38,-70.5973
-9360351.56,-70.5922
-9355468.75,-70.5968
-9350585.94,-70.5871
-9345703.12,-70.5591
-9340820.31,-70.5721
-9335937.50,-70.6765
-9331054.69,-70.5898
-9326171.88,-70.5843
-9321289.06,-70.5227
-9316406.25,-70.5146
-9311523.44,-70.6181
-9306640.62,-70.6620
-9301757.81,-70.6523
-9296875.00,-70.6414
-9291992.19,-70.6654
-9287109.38,-70.6754
-9282226.56,-70.6299
-9277343.75,-70.6638
-9272460.94,-70.5954
-9267578.12,-70.5390
-9262695.31,-70.6166
-9257812.50,-70.5510
-9252929.69,-70.5379
-9248046.88,-70.5391
-9243164.06,-70.5529
-9238281.25,-70.6137
-9233398.44,-70.6303
-9228515.62,-70.6523
-9223632.81,-70.5798
-9218750.00,-70.5644
-9213867.19,-70.5905
-9208984.38,-70.5881
-9204101.56,-70.6735
-9199218.75,-70.5887
-9194335.94,-70.5146
-9189453.12,-70.5466
-9184570.31,-70.6135
-9179687.50,-70.5923
-9174804.69,-70.5478
-9169921.88,-70.6018
-9165039.06,-70.5959
-9160156.25,-70.5716
-9155273.44,-70.5808
-9150390.62,-70.5738
-9145507.81,-70.5518
-9140625.00,-70.5218
-9135742.19,-70.5389
-9130859.38,-70.6048
-9125976.56,-70.5680
-9121093.75,-70.5660
-9116210.94,-70.5407
-9111328.12,-70.4919
-9106445.31,-70.5040
-9101562.50,-70.6305
-9096679.69,-70.6805
-9091796.88,-70.6188
-9086914.06,-70.6980
-9082031.25,-70.6667
-9077148.44,-70.5713
-9072265.62,-70.6685
-9067382.81,-70.6988
-9062500.00,-70.5958
-9057617.19,-70.5133
-9052734.38,-70.6143
-9047851.56,-70.6851
-9042968.75,-70.6454
-9038085.94,-70.5950
-9033203.12,-70.6016
-9028320.31,-70.6466
-9023437.50,-70.6639
-9018554.69,-70.5757
-9013671.88,-70.6326
-9008789.06,-70.6635
-9003906.25,-70.6143
-8999023.44,-70.5509
-8994140.62,-70.6039
-8989257.81,-70.6494
-8984375.00,-70.6380
-8979492.19,-70.6223
-8974609.38,-70.6753
-8969726.56,-70.7369
-8964843.75,-70.6267
-8959960.94,-70.6388
-8955078.12,-70.6782
-8950195.31,-70.6376
-8945312.50,-70.6075
-8940429.69,-70.5128
-8935546.88,-70.6455
-8930664.06,-70.5754
-8925781.25,-70.5191
-8920898.44,-70.5981
-8916015.62,-70.6573
-8911132.81,-70.5781
-8906250.00,-70.4988
-8901367.19,-70.5469
-8896484.38,-70.5666
-8891601.56,-70.5647
-8886718.75,-70.6775
-8881835.94,-70.6368
-8876953.12,-70.5100
-8872070.31,-70.5707
-8867187.50,-70.5464
-8862304.69,-70.5407
-8857421.88,-70.4914
-8852539.06,-70.5102
-8847656.25,-70.5743
-8842773.44,-70.5804
-8837890.62,-70.6387
-8833007.81,-70.6354
-8828125.00,-70.5933
-8823242.19,-70.5674
-8818359.38,-70.5719
-8813476.56,-70.5965
-8808593.75,-70.5348
-8803710.94,-70.5382
-8798828.12,-70.5662
-8793945.31,-70.5815
-8789062.50,-70.5569
-8784179.69,-70.5606
-8779296.88,-70.6774
-8774414.06,-70.5999
-8769531.25,-70.5267
-8764648.44,-70.5762
-8759765.62,-70.5669
-8754882.81,-70.5702
-8750000.00,-70.5872
-8745117.19,-70.6079
-8740234.38,-70.6366
-8735351.56,-70.6401
-8730468.75,-70.5653
-8725585.94,-70.6464
-8720703.12,-70.6553
-8715820.31,-70.5648
-8710937.50,-70.6048
-8706054.69,-70.5819
-8701171.88,-70.5581
-8696289.06,-70.6101
-8691406.25,-70.6560
-8686523.44,-70.6156
-8681640.62,-70.6314
-8676757.81,-70.6440
-8671875.00,-70.6038
-8666992.19,-70.7106
-8662109.38,-70.5553
-8657226.56,-70.5551
-8652343.75,-70.5780
-8647460.94,-70.5557
-8642578.12,-70.6343
-8637695.31,-70.5259
-8632812.50,-70.6495
-8627929.69,-70.6827
-8623046.88,-70.6148
-8618164.06,-70.5464
-8613281.25,-70.5825
-8608398.44,-70.5827
-8603515.62,-70.5876
-8598632.81,-70.6218
-8593750.00,-70.5682
-8588867.19,-70.6203
-8583984.38,-70.6488
-8579101.56,-70.6286
-8574218.75,-70.6320
-8569335.94,-70.6326
-8564453.12,-70.5965
-8559570.31,-70.5182
-8554687.50,-70.5913
-8549804.69,-70.6224
-8544921.88,-70.6473
-8540039.06,-70.7116
-8535156.25,-70.6492
-8530273.44,-70.6050
-8525390.62,-70.6534
-8520507.81,-70.6302
-8515625.00,-70.6592
-8510742.19,-70.6677
-8505859.38,-70.6049
-8500976.56,-70.5204
-8496093.75,-70.5517
-8491210.94,-70.6022
-8486328.12,-70.6400
-8481445.31,-70.6493
-8476562.50,-70.6453
-8471679.69,-70.6716
-8466796.88,-70.6531
-8461914.06,-70.6248
-8457031.25,-70.5010
-8452148.44,-70.5555
-8447265.62,-70.5551
-8442382.81,-70.5804
-8437500.00,-70.6552
-8432617.19,-70.6598
-8427734.38,-70.6523
-8422851.56,-70.6353
-8417968.75,-70.6353
-8413085.94,-70.6505
-8408203.12,-70.6349
-8403320.31,-70.5594
-8398437.50,-70.6061
-8393554.69,-70.6426
-8388671.88,-70.5694
-8383789.06,-70.5998
-8378906.25,-70.5745
-8374023.44,-70.5329
-8369140.62,-70.5732
-8364257.81,-70.5804
-8359375.00,-70.6240
-8354492.19,-70.6510
-8349609.38,-70.5720
-8344726.56,-70.5731
-8339843.75,-70.5496
-8334960.94,-70.5468
-8330078.12,-70.5148
-8325195.31,-70.5112
-8320312.50,-70.4688
-8315429.69,-70.4690
-8310546.88,-70.4625
-8305664.06,-70.5417
-8300781.25,-70.5333
-8295898.44,-70.6348
-8291015.62,-70.6028
-8286132.81,-70.5253
-8281250.00,-70.5805
-8276367.19,-70.6873
-8271484.38,-70.5389
-8266601.56,-70.5840
-8261718.75,-70.6071
-8256835.94,-70.5871
-8251953.12,-70.5139
-8247070.31,-70.6000
-8242187.50,-70.6653
-8237304.69,-70.7053
-8232421.88,-70.6867
-8227539.06,-70.6820
-8222656.25,-70.6657
-8217773.44,-70.5959
-8212890.62,-70.5850
-8208007.81,-70.4768
-8203125.00,-70.5218
-8198242.19,-70.5397
-8193359.38,-70.5994
-8188476.56,-70.6161
-8183593.75,-70.6205
-8178710.94,-70.7426
-8173828.12,-70.7207
-8168945.31,-70.6554
-8164062.50,-70.5524
-8159179.69,-70.5627
-8154296.88,-70.6783
-8149414.06,-70.5867
-8144531.25,-70.5905
-8139648.44,-70.5574
-8134765.62,-70.6217
-8129882.81,-70.6294
-8125000.00,-70.5588
-8120117.19,-70.4183
-8115234.38,-70.3573
